Plugin Instance                                             Type Instance                       Item Name                                Field Name                          TSDB Name
filesinfo                                                   filestotal                          mdt_filestotal                           filestotal                          mdt_filesinfo_total
filesinfo                                                   filesfree                           mdt_filesfree                            filesfree                           mdt_filesinfo_free
filesinfo                                                   filestotal                          ost_filestotal                           filestotal                          ost_filesinfo_total
filesinfo                                                   filesfree                           ost_filesfree                            filesfree                           ost_filesinfo_free
kbytesinfo                                                  kbytestotal                         mdt_kbytestotal                          kbytestotal                         mdt_kbytesinfo_total
kbytesinfo                                                  kbytesfree                          mdt_kbytesfree                           kbytesfree                          mdt_kbytesinfo_free
kbytesinfo                                                  kbytesavail                         mdt_kbytesavail                          kbytesavail                         mdt_kbytesinfo_avail
kbytesinfo                                                  kbytestotal                         ost_kbytestotal                          kbytestotal                         ost_kbytesinfo_total
kbytesinfo                                                  kbytesfree                          ost_kbytesfree                           kbytesfree                          ost_kbytesinfo_free
kbytesinfo                                                  kbytesavail                         ost_kbytesavail                          kbytesavail                         ost_kbytesinfo_avail
acctuser_${content:id}                                      id                                  mdt_acctuser                             id                                  mdt_acctuser_samples
acctuser_${content:id}                                      usage_inodes                        mdt_acctuser                             usage_inodes                        mdt_acctuser_samples
acctuser_${content:id}                                      usage_kbytes                        mdt_acctuser                             usage_kbytes                        mdt_acctuser_samples
acctuser_${content:id}                                      id                                  ost_acctuser                             id                                  ost_acctuser_samples
acctuser_${content:id}                                      usage_inodes                        ost_acctuser                             usage_inodes                        ost_acctuser_samples
acctuser_${content:id}                                      usage_kbytes                        ost_acctuser                             usage_kbytes                        ost_acctuser_samples
acctuser_${content:id}                                      id                                  zfs_mdt_acctuser                         id                                  mdt_acctuser_samples
acctuser_${content:id}                                      usage_inodes                        zfs_mdt_acctuser                         usage_inodes                        mdt_acctuser_samples
acctuser_${content:id}                                      usage_kbytes                        zfs_mdt_acctuser                         usage_kbytes                        mdt_acctuser_samples
acctuser_${content:id}                                      id                                  zfs_ost_acctuser                         id                                  ost_acctuser_samples
acctuser_${content:id}                                      usage_inodes                        zfs_ost_acctuser                         usage_inodes                        ost_acctuser_samples
acctuser_${content:id}                                      usage_kbytes                        zfs_ost_acctuser                         usage_kbytes                        ost_acctuser_samples
acctgroup_${content:id}                                     id                                  mdt_acctgroup                            id                                  mdt_acctgroup_samples
acctgroup_${content:id}                                     usage_inodes                        mdt_acctgroup                            usage_inodes                        mdt_acctgroup_samples
acctgroup_${content:id}                                     usage_kbytes                        mdt_acctgroup                            usage_kbytes                        mdt_acctgroup_samples
acctgroup_${content:id}                                     id                                  ost_acctgroup                            id                                  ost_acctgroup_samples
acctgroup_${content:id}                                     usage_inodes                        ost_acctgroup                            usage_inodes                        ost_acctgroup_samples
acctgroup_${content:id}                                     usage_kbytes                        ost_acctgroup                            usage_kbytes                        ost_acctgroup_samples
acctgroup_${content:id}                                     id                                  zfs_mdt_acctgroup                        id                                  mdt_acctgroup_samples
acctgroup_${content:id}                                     usage_inodes                        zfs_mdt_acctgroup                        usage_inodes                        mdt_acctgroup_samples
acctgroup_${content:id}                                     usage_kbytes                        zfs_mdt_acctgroup                        usage_kbytes                        mdt_acctgroup_samples
acctgroup_${content:id}                                     id                                  zfs_ost_acctgroup                        id                                  ost_acctgroup_samples
acctgroup_${content:id}                                     usage_inodes                        zfs_ost_acctgroup                        usage_inodes                        ost_acctgroup_samples
acctgroup_${content:id}                                     usage_kbytes                        zfs_ost_acctgroup                        usage_kbytes                        ost_acctgroup_samples
acctproject_${content:id}                                   id                                  mdt_acctproject                          id                                  mdt_acctproject_samples
acctproject_${content:id}                                   usage_inodes                        mdt_acctproject                          usage_inodes                        mdt_acctproject_samples
acctproject_${content:id}                                   usage_kbytes                        mdt_acctproject                          usage_kbytes                        mdt_acctproject_samples
